ocm_id,ocm_uuid,ocm_title,ocm_latitude,ocm_longitude,ocm_operator,ocm_usage_cost,ocm_number_of_points,ocm_address_line1,ocm_town,ocm_postcode,ocm_plug_types,ocm_connection_count,ocm_max_power_kw,ocm_date_last_verified
498404,DD2D7F83-0DCE-44D9-9BEC-9C3B21DA6038,Steamtown Heritage Rail Centre,-32.9743837798443,138.8281439655599,Chargefox,,3.0,1/2 Telford Ave,Peterborough ,5422,Type 2 (Socket Only),1,7.0,2026-07-12T00:17:00Z
498403,AAFCBEAC-FD58-405F-BC61-CC087A0949B1,Peterborough Seniors Community Centre,-32.9734326739368,138.83353896606855,Chargefox,,3.0,251 Main St,Peterborough ,5422,CCS (Type 2); Type 2 (Socket Only),2,150.0,2026-07-12T00:14:00Z
498402,C08BC698-DFE4-44E9-9F34-84ED206FDA1A,Horrocks Hwy Parking,-32.64974476515834,138.09808961435238,Chargefox,,2.0,38 Horrocks Hwy,Wilmington,5485,CCS (Type 2); Type 2 (Socket Only),2,150.0,2026-07-12T00:03:00Z
498401,698EED84-6DA3-472D-8F6D-F8BCF245C59D,NRMA Camooweal,-19.92062659388445,138.11771491418892,NRMA,,2.0,26-36 Kennedy St,Camooweal,4828,CCS (Type 2); Type 2 (Socket Only),2,50.0,2026-07-12T02:15:00Z
498326,36852C5B-D4E9-49C0-92DC-10DC0915FC87,7-Eleven Wodonga West,-36.111345809597665,146.8644149516706,Evie,,4.0,196 Melbourne Rd,Wodonga,3690,CCS (Type 2),1,150.0,2026-07-14T05:27:00Z
498325,453497E9-0CE4-4553-9110-6BD6877DE1DA,Chiltern Community Hub,-36.14945183648287,146.61055297595806,Evie,,1.0,3 Crawford St,Chiltern,3683,CCS (Type 2); CHAdeMO,2,50.0,2026-07-14T05:02:00Z
498324,38F64D26-9D11-4727-94CB-A25198F140C4,Loch St Carpark,-36.35825318030495,146.68698070767823,Evie,,1.0,26A Loch Street,Beechworth,3747,CCS (Type 2); CHAdeMO,2,50.0,2026-07-14T04:52:00Z
498046,D59E6740-D781-45DB-A626-39A57A2AFB37,Woolworths Franklin,-35.19996279745976,149.14845924888368,Evie,,4.0,3 Clare Burton Cres,Franklin,2913,CCS (Type 2); CHAdeMO,2,75.0,2026-07-12T05:02:00Z
498045,C3B4E886-1D2D-49D4-9515-C2399D742EB7,Wilson Carpark King St,-35.3231680845083,149.09315028995252,Evie,,4.0,1 King St,Deakin,2600,CCS (Type 2); CHAdeMO,2,75.0,2026-07-12T04:57:00Z
498044,D255AB04-8F80-47E3-92F1-DE5A887AD807,Watson St,-35.27100605358091,149.12633533502367,Evie,,8.0,34 Watson St,Turner,2612,CCS (Type 2); CHAdeMO; Type 2 (Socket Only),3,75.0,2026-07-12T04:57:00Z
498043,352F5DA0-6621-4A90-BAD2-3AEC4C6E80CF,Southwell Park,-35.24792150423057,149.1329533391346,Evie,,8.0,1 Mouat St,Lyneham,2602,CCS (Type 2); Type 2 (Socket Only),2,75.0,2026-07-12T04:47:00Z
498042,9BC341F5-EF6F-4AB4-8ABE-8B5AB9E14B68,Southlands Shopping Centre,-35.36610802981789,149.09521379482794,BP Pulse (AU),,6.0,12 Heard St,Mawson,2607,CCS (Type 2),1,150.0,2026-07-12T04:47:00Z
498041,05005BD5-8CA1-403C-8E92-D04C578B9C7E,South.Point Tuggeranong,-35.416273227079664,149.06429331304798,Tesla (including non-tesla),,6.0,210 Anketell St,Greenway,2900,CCS (Type 2),1,250.0,2026-07-12T04:42:00Z
498040,5941A603-75B4-4B0F-939D-7566ECE54F7D,SolarHub Office,-35.21703265935601,149.1442670748155,SolarHub Charge (AU),,6.0,30 Darling St,Mitchell,2911,CCS (Type 2); Type 2 (Socket Only),2,40.0,2026-07-12T04:42:00Z
498039,66FA1525-6320-493A-8E0E-FBFC2AB053FD,Next Gen Canberra,-35.241810065898456,149.1267799483394,Exploren,,6.0,1 Riggall Pl,Lyneham,2602,CCS (Type 2),1,150.0,2026-07-12T04:37:00Z
498038,A36697C5-8038-4BC2-B1A8-3900FB176FFE,Manuka Shops,-35.32078244208179,149.13469808449076,Evie,,4.0,18 Captain Cook Crescent,Griffith,2603,CCS (Type 2),1,75.0,2026-07-12T04:32:00Z
498036,700344D7-EA81-4D62-A3FA-7C7B7F7627F9,Koko Molonglo Centre,-35.32108412289304,149.0375489852977,Evie,,4.0,76 Steve Irwin Ave,Wright,2611,CCS (Type 2); CHAdeMO,2,75.0,2026-07-12T04:27:00Z
497961,4CDE24AA-6710-4A7D-BF1D-9547E9F3BACA,Hobart Place,-35.278965615236515,149.12722404817941,Evie,,4.0,Hobart place,Civic,2601,CCS (Type 2),1,75.0,2026-07-12T03:42:00Z
497960,D3357D0A-B3C4-41AB-9EA9-92E91C981781,Hillside Lane,-35.281503668627316,149.13238164569964,Evie,,4.0,Hillside Lane,Civic,2601,CCS (Type 2),1,75.0,2026-07-12T03:32:00Z
497959,C0C11DBF-DFD9-4513-A701-9EA2B845242D,Gungahlin Village Shopping Centre,-35.1866972231221,149.1353467830902,Ampol AmpCharge,,6.0,Efkarpidis Street,Gungahlin,2912,CCS (Type 2),1,150.0,2026-07-12T03:32:00Z
497958,970F619D-8A07-400D-9666-992E42DA6B54,Marketplace Gungahlin,-35.18471118197023,149.13263014011295,Exploren,,6.0,33 Hibberson St,Gungahlin,2912,CCS (Type 2); CHAdeMO,2,150.0,2026-07-12T03:27:00Z
497957,5A10BAF4-5E1D-426F-84FC-39E2E1BD7F97,"Gordon St, Civic",-35.28235495272262,149.12508664662323,Evie,,4.0,1 Gordon St,Civic,2601,CCS (Type 2),1,150.0,2026-07-12T03:22:00Z
497956,42BC36B1-2196-46C6-9651-A8BE56656262,Gold Creek Village,-35.188726100812175,149.08218679532138,Tesla (including non-tesla),,4.0,48 O'Hanlon Pl,Nicholls,2913,CCS (Type 2),1,300.0,2026-07-12T03:17:00Z
497955,D9457CAB-DA86-4138-BCED-CF2A17D99347,Fyshwick Fresh Food Markets,-35.323276854784446,149.15426078056328,Evie,,4.0,36 Mildura St,Fyshwick,2609,CCS (Type 2); CHAdeMO,2,75.0,2026-07-12T03:17:00Z
497954,02190139-026E-4448-8BA2-B13F02244777,Curtin Shops,-35.32604892907426,149.08210891361387,Evie,,4.0,1 Curtin Pl,Curtin,2605,CCS (Type 2),1,50.0,2026-07-12T03:07:00Z
497953,6AC96C05-8057-4E10-B5C6-D50080284E4B,Casey Market Town,-35.174560771514685,149.09650050391156,Evie,,4.0,15 Kingsland Pde,Casey,2913,CCS (Type 2),1,75.0,2026-07-12T03:07:00Z
497952,0291E360-C71F-47FE-9A7C-4693F988357B,Bunnings Gungahlin,-35.18421693732623,149.13035477940002,Exploren,,2.0,5 Hibberson St,Gungahlin,2912,CCS (Type 2),1,120.0,2026-07-12T03:02:00Z
497951,5F01DE61-8C8E-475E-890E-9B914CF361BE,BP Kingston,-35.32002501849037,149.13894990544645,BP Pulse (AU),,2.0,77 Canberra Avenue,Griffith,2603,CCS (Type 2); CHAdeMO,3,150.0,2026-07-12T02:57:00Z
497950,A7C5BE6E-65FB-468D-97BF-D89B21200002,BP Chisolm,-35.41327395241389,149.12809990038704,BP Pulse (AU),,2.0,5 Benham St,Chisolm,2905,CCS (Type 2),1,75.0,2026-07-12T02:52:00Z
497870,928C7EFA-A1EC-4552-976F-4D344579F490,Calwell Shops - Exploren,-35.43424069680939,149.11380500368136,Exploren,,3.0,7 Webber Crescent,Calwell,2905,CCS (Type 2); Type 2 (Tethered Connector) ,2,40.0,2026-07-11T06:37:00Z
497869,A629B8B9-30CA-4F1C-8A72-02D2236F1C1A,Calwell Shopping Centre - Evie,-35.43432028153978,149.11325766152004,Evie,,4.0,9 Webber Crescent,Calwell,2905,CCS (Type 2); CHAdeMO,2,150.0,2026-07-11T06:32:00Z
497868,8B22F297-2CDC-4363-9764-CB4FD63C4FB0,ARTE Braddon,-35.27454989579267,149.1331637524337,Evie,,2.0,10 Lonsdale St,Braddon,2612,CCS (Type 2),1,75.0,2026-07-11T06:27:00Z
497867,D3240F22-4B6F-4950-84D7-06A6BDA34EFB,ANU - Fulton Muir Building,-35.273443925283914,149.12115126723074,Exploren,,5.0,95 Daley Road,Acton,2601,CCS (Type 2),1,160.0,2026-07-11T06:17:00Z
497866,E3D5BE28-4CB4-41F9-8F3C-5F1203542D48,ANU - School of Art & Design,-35.282076537555895,149.1220259901039,Exploren,,6.0,3 Repertory Lane,Acton,2601,CCS (Type 2); CHAdeMO,2,160.0,2026-07-11T06:17:00Z
497774,CBE9909E-D09C-4080-A348-EFE5A819D607,Wirib Store And Tourist Park,-15.663212693698824,130.48081641845965,(Unknown Operator),,1.0,"58 Victoria Hwy, Timber Creek NT 0852, Australia",,,Type 2 (Socket Only),1,22.0,2026-07-07T17:36:00Z
495517,76FCC975-68EA-42A9-AAA0-8703475EBC82,Diamond Valley Stadium,-37.689525209281314,145.11064748225635,Chargefox,free,2.0,44 Civic Drive,Greensborough,3088,Type 2 (Socket Only),1,7.0,2026-06-30T12:29:00Z
495253,56520B2D-547E-4239-A456-057A0EEA1924,Amaroo Shopping Centre,-35.16461102996581,149.13267691836063,Evie,,4.0,Emerald Way,Amaroo,2914,CCS (Type 2); CHAdeMO,2,75.0,2026-06-30T06:32:00Z
493410,A173FE4F-7007-4A78-B575-2E404C66DC13,Stephenson Avenue,-31.9535263892204,115.78251695651124,Exploren,,4.0,Stephenson Avenue,,6010,Unknown,1,22.0,2026-06-17T06:27:00Z
493220,D2159084-7186-4D56-AB97-7BEF6C7CF022,RACQ Camooweal,-19.92069312003943,138.1205261119792,(Unknown Operator),,1.0,"48 Kennedy St, Camooweal QLD 4828, Australia",,,Three Phase 5-Pin (AS/NZ 3123),1,,2026-07-12T01:04:00Z
493219,7687F80D-EE41-44C1-878B-791F93422E80,Barkly Homestead Wayside Inn,-19.711242654992517,135.82803240276598,(Unknown Operator),$45,1.0,"Tablelands Hwy, Tablelands Northern Territory 0862",,,Type I (AS 3112),1,3.6,2026-07-12T02:20:00Z
492650,4B309415-D6F3-4F55-96E8-C9D8C99BEB44,Overwrought Sculpture Garden and Gallery,-37.36910898843979,144.0382440134954,(Unknown Operator),$5 per 30 minutes,2.0,3409 Midland Highway,Blampied,3364,CCS (Type 2),1,7.0,2026-06-12T04:32:00Z
492649,14E3C38D-E657-4FCF-BA0B-F6A5C7687483,Overwrought Sculpture Garden And Gallery,-37.5729,143.8658,(Unknown Operator),$5 per half hour,1.0,3409 Midland Hwy,Balmpied,3364,Type 2 (Tethered Connector) ,1,7.0,2026-06-12T04:21:00Z
491984,81976FF5-A0FD-46BC-9470-203F12D77EA8,Collins Street,-37.81613406341241,144.96258058666876,(Unknown Operator),,1.0,Collins Street,,3000,Unknown,1,,2026-06-04T03:52:00Z
489896,721B79A7-D96B-43FC-BA45-1DC51FBFAAFA,7-Eleven ,-37.61945572537157,144.92769544567727,Chargefox,80c kWh,2.0,250 Bridgewater Road,Roxburgh Park,3064,Unknown,1,200.0,2026-09-07T08:36:00Z
489555,77B0BAD5-A855-420E-B472-8C2B2BAF65F0,Lake George Winery,-34.985300158763444,149.38404767579334,Exploren,$0.58/kWh,1.0,173 The Vineyards Road,Lake George,2581,CCS (Type 2),1,60.0,2026-05-18T12:30:00Z
488762,8D71FA97-233E-4084-BE8C-519A2A858BC7,Legana Park Drive,-41.37471020446324,147.05727844452383,Evie,0.62/kWh + 0.09/kWh (9:00 AM-9:00 PM),4.0,Legana Park Drive,,7277,CCS (Type 2),1,75.0,2026-05-13T01:52:00Z
488761,D5E31810-B1D2-4D88-9FAA-8D80A4881C79,Slim Dusty Museum (business hours only),-31.117509016152,152.82696562998012,Exploren,,2.0,49 Maclean Valley Way,South Kempsey,2440,Type 2 (Socket Only),1,7.0,2026-05-12T23:41:00Z
488760,62FB47DB-A280-4CDD-AFF1-210296960562,Woolworths Ormeau (underground carpark),-27.786461516470645,153.25194728524752,Evie,,2.0,19/21 Peachey Road,Ormeau,4208,CCS (Type 2),2,150.0,2026-05-12T23:31:00Z
487893,EA72B6B3-B7C4-405F-A815-DF9476523E64,Merimbula Supercharger,-36.885916759820965,149.90713541162972,Tesla (including non-tesla),,8.0,Sapphire Coast Drive,Merimbula,2548,CCS (Type 2),1,270.0,2026-05-06T00:08:00Z
487892,12E42CBA-0AE6-475C-8DE6-987409C5D7E5,Ampcharge Cheltenham,-37.96511823061312,145.05552611631492,Ampol AmpCharge,,2.0,Charman Road,,3192,CCS (Type 2),1,180.0,2026-05-05T23:53:00Z
487891,1F4297AE-481E-4F62-A4C6-F7F9BA425D1A,Ampcharge Mentone,-37.981666060368674,145.0657325145794,Ampol AmpCharge,,4.0,Balcombe Road,,3194,CCS (Type 2),1,150.0,2026-05-05T23:53:00Z
487890,3D049BBA-7575-428D-B10D-508586B5B55D,Bunnings Narre Warren,-38.02474639645431,145.31003231996522,Exploren,,2.0,Regency Drive,,3805,CCS (Type 2),1,,2026-05-05T23:48:00Z
486640,067A6129-A50E-4B11-85A8-485613A6C424,Nundroo Roadhouse,-31.79228651835076,132.22512133419514,NRMA,,3.0,61660 Eyre Highway,Coorabie,5690,CCS (Type 2); Type 2 (Socket Only),2,160.0,2026-04-26T07:33:00Z
481551,BD398F35-0BD3-4C41-9C39-A1A204A1B18E,RACV Stratford,-37.96498748573004,147.07965836210963,Chargefox,,2.0,12 Raymond St,Stratford,3862,CCS (Type 2),1,50.0,2026-04-12T00:42:00Z
481550,1EAAD915-A9B7-424D-8665-C47ADD52943D,NRMA Lakes Entrance,-37.88056405685817,147.98600184811744,NRMA,,4.0,Mechanics Street,Lakes Entrance,3909,CCS (Type 2),1,180.0,2026-04-13T01:37:00Z
480800,D87B15BA-12C7-4CD3-8BC7-8374B91CB31A,Vale 194 number 4 Ev Charger ,-35.214681756023786,138.53786206670543,(Unknown Operator),,1.0,4/194 Main Rd,McLaren Vale,5171,Type 2 (Socket Only),1,,2026-04-06T20:20:00Z
480799,1D7CA9DB-5D58-4F20-84BA-4BF08A76D0FB,Vale 194 No. 3 EV Charger for Guest use,-35.2148173751747,138.53809213717636,(Unknown Operator),,1.0,3/194 Main Rd,McLaren Vale,5171,Type 2 (Socket Only),1,,2026-05-08T02:02:00Z
480613,DB5ABDD4-F14E-4C13-905A-ACCEB71F0E9E,Park Lane,-35.91383761902494,150.0792414857017,NRMA,$0.74/kWh,1.0,Park Lane,Moruya,2537,CCS (Type 2),1,150.0,2026-04-04T16:14:00Z
480398,6C051185-440E-40A7-8AED-AAD3FECF002E,John Oxley Drive,-31.458200567763306,152.82699819893708,Tesla (including non-tesla),,12.0,John Oxley Drive,,2444,CCS (Type 2),1,250.0,2026-03-19T05:06:00Z
480188,C55E6D4B-E575-472C-9F44-1F39E3CC978F,Xpeng Parramatta,-32.07741625976311,152.48826050410653,(Private Residence/Individual),,1.0,21 Church Stree,Parramatta,2150,CCS (Type 2),1,4.0,2026-03-16T00:26:00Z
480135,2D078DA9-B0ED-4064-91B8-3A42C70C5160,NRMA EV Charger Walcha,-30.983013170871303,151.59251668897264,NRMA,,2.0,10W Apsley Street,Walcha,2354,CCS (Type 2); CHAdeMO,2,,2026-03-15T08:37:00Z
479894,46339AB9-9F02-4300-BCC0-2DDE8CBADFCC,Strathnairn - West Belconnen,-35.2320840816358,148.99442915180566,(Unknown Operator),free,1.0,Studio Road,Strathnairn,2615,Type 2 (Tethered Connector) ,1,7.0,2026-07-12T04:21:00Z
479893,06F7B40B-966E-42EC-AB84-91A1EEDDF760,The Link - Ginninderry Community & Information Centre,-35.23086287221697,148.99517242729212,Exploren,Free charging for 2hours then charging stopsIdle fee ($/min) = $0.50c / minuteIdle fee grace period (minutes) = 15 minutesIdle fees begin only after charging is complete and the grace period has ended,2.0,1 McClymont Wy,Strathnairn,2615,Type 2 (Socket Only),1,22.0,2026-07-12T04:21:00Z
479892,8FCBDB43-CA60-4526-B3A2-F657CA0563C2,Raiders Club Belconnen,-35.21529459165514,149.00429874537963,WeVolt (AU),35c/kWh + $1.21 service fee Idle fees See wevolt app for details,3.0,155 Hardwick Cres,Holt,2615,Type 2 (Socket Only),1,11.0,2026-07-12T04:21:00Z
479891,26C162BE-50A5-44E4-8107-0917405D1F67,Kippax Fair Shopping Centre,-35.223061356996645,149.01981009603946,BP Pulse (AU),$0.72/kWh,6.0,Hardwick Crescent,,2615,CCS (Type 2); CHAdeMO,2,150.15,2026-07-12T04:21:00Z
479817,7D7F41F7-48DF-4CE6-A037-3CB2E44B101B,Calderwood Village,-34.57238704885878,150.74596188386158,Chargefox,,4.0,Borjeson Circuit,,2527,CCS (Type 2),1,150.0,2026-03-09T04:16:00Z
479816,C85A5A00-4E1C-41A5-B9D9-A0C398A3D1D0,Shellharbour Ampcharge,-34.56282332623376,150.84003054738014,Ampol AmpCharge,$0.60/kWh for pay-as-you-go charging.,10.0,Lake Entrance Road,Shellharbour City Centre,2529,CCS (Type 2),1,180.0,2026-03-09T04:11:00Z
479813,26CC37B3-6B87-494F-89B1-76A80006F981,Ampcharge Dandenong,-37.97452580646607,145.20373217473298,Ampol AmpCharge,$0.60/kWh for pay-as-you-go charging.,4.0,Gladstone Road,Dandenong,3175,CCS (Type 2),1,180.0,2026-03-09T00:36:00Z
479812,2AF5B87E-7989-44C1-98C3-09D4EAE44A47,Hill Street Grocer,-41.587804823795224,147.1202882311427,Chargefox,,4.0,Wellington Street,Longford,7301,Type 2 (Tethered Connector) ,1,22.0,2026-03-08T23:51:00Z
479811,AC055B0C-E5EB-4B39-9CAD-DB3C7E4D0D81,Geelong Supercharger,-38.1708965134698,144.3922134665229,Tesla (including non-tesla),,8.0,Bellarine Highway,Newcomb,3219,CCS (Type 2),1,250.0,2026-03-08T23:51:00Z
479810,4E62D67C-FE14-4C1C-BFC8-2A8E9B8B696F,IKEA Springvale,-37.92633458005251,145.1437568373476,Chargefox,,4.0,Princes Highway,Springvale,3171,Type 2 (Tethered Connector) ,1,22.0,2026-03-08T23:46:00Z
479439,EB623374-75C1-40C6-9D30-6724FA430AA2,Hargreave st Car Park,-36.75920942467174,144.28152180874156,(Unknown Operator),"free, parking cost may apply",12.0,Hargreave St,Bendigo,,Type 2 (Socket Only),1,8.0,2026-03-03T08:37:00Z
475912,821682EA-5FAD-46D4-936D-0FF18192CD77,Mulberry Estate Charger,-31.886987128407867,115.97787623265958,Tesla (including non-tesla),,2.0,Swan Valley Path,,6935,CCS (Type 2),1,160.0,2026-02-10T18:58:00Z
475911,5CC59A5F-BF81-44E4-A8E8-3DEF15E529E3,Armadale Supercharger,-32.15052522037196,116.01440442440423,Tesla (including non-tesla),,6.0,Neerigen Street,Armadale,6112,CCS (Type 2),1,250.0,2026-02-10T18:51:00Z
475513,305C61F0-DDD0-4E52-BB31-0A88F2C78C87,Competitive Windscreens,-33.934893411978834,150.93591558152286,(Unknown Operator),-,1.0,Unit 6/14 Cunningham St,Moorebank,2170,Unknown,1,,2026-07-28T23:04:00Z
474459,96C5F68D-4253-4920-8A7F-404C327C56FA,Big Banana Tesla Supercharger,-30.274110914833187,153.13253636781275,(Unknown Operator),,16.0,351 Pacific Highway,Coffs Harbour,2450,CCS (Type 2),2,300.0,2026-01-25T00:52:00Z
474457,8FF2B688-CB4D-4A6E-BDAB-7EF5A1E4DF93,The Ponds Shopping Centre,-33.706177569208975,150.91276385955848,Ampol AmpCharge,0.75,4.0,The Ponds Boulevard,Sydney,2769,CCS (Type 2),1,150.0,2026-03-10T11:45:00Z
474435,4A8D8E4F-B40C-42CF-ACEE-C62EAAA9FE92,Merriden Supercharger,-31.48102875567887,118.27822516113406,Tesla (including non-tesla),,6.0,Barrack Street,Merredin,6415,CCS (Type 2),3,250.0,2026-01-21T10:52:00Z
473174,7D5F3F93-7BE9-4DC2-98D4-6513D99A62DE,Corrigin Charger,-32.33414525317049,117.87559193743596,Chargefox,,1.0,SR 40,Corrigin,6375,CCS (Type 2),1,20.0,2026-01-21T10:36:00Z
472991,F5AF2F90-343D-4946-B138-6FFEC4A86B4A,Mandurah Forum Mall,-32.53577960295785,115.74472408771112,Chargefox,,2.0,Mandurah Road,Mandurah,6210,CCS (Type 2),1,150.0,2026-01-12T08:04:00Z
472388,2F52EE60-807D-43AA-8DA1-DB5C4598244D,Balladonia - WA EV Network,-32.35432951007393,123.61954850785787,Chargefox,,3.0,Highway 1,Balladonia,,CCS (Type 2); Type 2 (Socket Only),2,50.0,2026-01-01T05:14:00Z
471411,0AAF1444-CE7F-4C77-A72A-7FA6487595E2,Kaniva Tesla Supercharger,-36.37875081316521,141.23908092739225,Tesla (including non-tesla),,10.0,Commercial hotel ,Kaniva,3149,Unknown,1,250.0,2025-12-27T12:48:00Z
471035,A46A1188-CD53-43D3-9E51-D277D4EC7774,"Gin Gin, QLD - Dear St",-24.989456028418857,151.95345505093815,Tesla (including non-tesla),,6.0,4 Dear Street,Gin Gin,4671,CCS (Type 2),1,250.0,2025-12-19T00:12:00Z
471034,25C53169-F4B9-4C2C-96DF-E50C4EA701BA,Albury Showground,-36.06509679862696,146.93423532068664,Exploren,$0.50 plus $0.22/kWh,1.0,21 Hague Ave,North Albury,2640,Type 2 (Socket Only),1,22.0,2025-12-18T23:32:00Z
471033,1A4AF84F-4AA6-4D6C-870D-3ADD5CC79C1A,Dog on the Tuckerbox,-35.00129644033861,148.11056333609463,NRMA,0.70/kWh,2.0,37 Annie Pyers Drive,Gundagai,2722,CCS (Type 2),1,60.0,2025-12-18T23:27:00Z
470793,43BEA53D-625B-41CA-9B96-C0A2309A4D79,Serpentine  Jarahdale Municipal Charger,-32.29770145683969,115.98462064728506,Chargefox,,1.0,Paterson Street,Mundijong,6123,Type 2 (Socket Only),1,22.0,2025-12-10T10:56:00Z
470672,3D7FD374-21FE-4C18-89C2-8795E6044D45,Manjimup NRMA,-34.23994388198981,116.1481549246804,NRMA,,4.0,Mottram Street,Manjimup,6258,CCS (Type 2); CHAdeMO,4,180.0,2025-12-14T06:18:00Z
470663,AB9DD511-E0EA-425A-8587-0CDFB62F00E7,Eneabba NRMA,-29.820973736299308,115.26611873091292,Chargefox,,4.0,Eneabba Drive,,,CCS (Type 2); CHAdeMO,4,180.0,2025-12-25T06:24:00Z
470502,781ACDAB-C97B-4501-B2AE-A2C0F3F6F1C2,The Promenade,-33.28240261266069,115.74093768217693,Chargefox,,2.0,The Promenade,Australind,6233,CCS (Type 2),1,100.0,2025-12-01T12:39:00Z
470328,80C1D498-BB22-4F87-8E22-9A1422A64F86,14 Pascoe Street Parking - Apollo Bay,-38.758398296255834,143.66892168961192,Evie,,1.0,14 Pasco Street,Apollo Bay,3233,CCS (Type 2); CHAdeMO,2,50.0,2025-12-02T01:28:00Z
470327,F777EE0E-A9F9-465C-9713-E29B167C83C7,Port Fairy Sea Scouts,-38.38374006982256,142.23858472162362,Evie,,2.0,5 Bank St,Port Fairy,3284,CCS (Type 2); CHAdeMO,2,50.0,2025-12-02T00:23:00Z
470301,DCBC5402-107F-4627-8861-FEA9E95B0979,Maule Road,-32.0859150105917,115.88137068079533,WeVolt (AU),,1.0,2 Maule Road,Jandakot ,,CCS (Type 2),1,100.0,2025-11-28T08:27:00Z
470244,E9659250-F0E9-460D-9984-2B67ACAF3F05,Scarborough Beach Road,-31.904578816550888,115.80624524662517,Chargefox,,2.0,488 State Route 75,Osbourne Park,6017,CCS (Type 2),2,120.0,2026-04-23T06:39:00Z
470243,D741DD2D-B275-4274-908E-39A15F0DFBB3,Osborne Park Supercharger,-31.90969571694111,115.81261416287998,Tesla (including non-tesla),,8.0,419 State Route 75,Osbourne Park,6017,CCS (Type 2),8,250.0,2026-04-23T06:44:00Z
